60-69,High school diploma only 2014-18,anycondition_number,COPD_number,CKD_number,Heart disease_number
-0.23342489064918975,-0.2455169801011896,-0.23437017126886364,-0.2235164476823215,-0.21932878541214243,2072
-0.10561829152785533,-0.007424008809735746,-0.1426445359246908,-0.11007997340694803,-0.1309624869056346,3796
-0.21925635132243107,-0.157678383089202,-0.19320539721981927,-0.19310554768028645,-0.20639082076990117,2222
-0.03260250604026459,0.021855523527593457,-0.003321498449116802,-0.007077364404239288,-0.04505440168115262,5484
0.14466359539349738,0.28005849619589573,0.16555521710294557,0.2656027975386944,0.1324544732103975,8686
2.3694719639112174,1.2939016575860502,1.508821468074342,1.4670242110082137,1.993192548057536,35077
-0.2680784142377447,-0.2546471568515396,-0.26417670422280315,-0.26455207634615546,-0.2404176677789957,1433
-0.3343431370195384,-0.3594277413248447,-0.3290693799718618,-0.3625922372313773,-0.31080019543278814,165
2.1160898035584474,2.152118595013882,1.6490042121332498,1.6641224708540394,1.4446228472265066,31557
-0.32999695931194367,-0.3435876717471901,-0.32087688194244507,-0.35794789476244726,-0.3023905184153313,260
0.6606707873571892,0.8521703259726744,0.6031256396296794,0.8247689065719293,0.6116766835590138,16890
-0.31550970028662806,-0.32257252353733284,-0.3040670896894938,-0.32142936630812063,-0.291005109530159,640
-0.33553109225961425,-0.3632057454974033,-0.33048536728558814,-0.3636737964364706,-0.31287026977554677,130
0.41745868284019055,0.6177176191183212,0.4255810588785922,0.7410434998717658,0.3609389287923782,15219
-0.2960388241566039,-0.3000028840273083,-0.29845371141007865,-0.32715526798214395,-0.28194853428059014,734
-0.3408624035809304,-0.36686568703956945,-0.33490527054343394,-0.3674274430894414,-0.31610476093610707,59
-0.27080201893450406,-0.2456743969417129,-0.2670289072404519,-0.27053246253902424,-0.25620198464253,1293
1.9901665481104038,1.745865083833439,1.6774453287489532,1.6596053706445322,1.8638129016351235,32977
1.7928211056675545,1.288411745272801,1.0684392993103515,1.128368937554589,1.198025241145388,23840
-0.22192200698308914,-0.19652098848832017,-0.18694471045412922,-0.18877931085991326,-0.17779791891054797,2457
-0.25811118002832756,-0.23788226333581075,-0.23881030291690553,-0.23573170458690462,-0.2180349889479183,1790
-0.2971978048786291,-0.31271429389956273,-0.2871864980708562,-0.3147491476884267,-0.27172754221321954,903
-0.33185132846718407,-0.35620069609411753,-0.324871989006173,-0.35514856505514697,-0.30562500957589167,260
-0.01614497978750604,0.042063910429768925,0.0706941812783787,0.1993095803794464,0.008250012644881378,7342
-0.3188707443805013,-0.3220412417005668,-0.30298487081400294,-0.31920262676822264,-0.28621806261252974,690
-0.24536239208604982,-0.2572445347201736,-0.25663151467966133,-0.2931179635865608,-0.24947424302856458,1293
0.17239220916795148,0.2626639353180738,0.14144297598920558,0.2815717010962484,0.14293422457061292,9013
0.1666552545939265,0.25583597986037676,0.17981623219118945,0.3020577048633097,0.11861085104319935,9041
-0.16055397775185218,-0.12564405604271547,-0.1749290466776514,-0.15817754746874407,-0.16900010295382392,2923
-0.3293015708787285,-0.34409927647889077,-0.3205026567238174,-0.34585988011728686,-0.30329617594028824,334
-0.34181856267660127,-0.36828243860427895,-0.33439956078853167,-0.3671093374408846,-0.31610476093610707,61
